Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,54.43,54.66,359140850,7192925,4469,2026-06-30,60.0,46018475,55.0,12274000,0.4542,0.3958
2026-06-09,55.23,55.61,359032550,-108300,3826,2026-06-30,60.0,45440875,55.0,12734275,0.4689,0.3782
2026-06-10,54.08,54.13,360314100,1281550,3852,2026-06-30,60.0,46596075,55.0,12986975,0.4474,0.3836
2026-06-11,53.29,53.45,360765350,451250,2186,2026-06-30,60.0,48707925,55.0,12959900,0.4529,0.3799
2026-06-12,55.08,55.4,361577600,812250,4370,2026-06-30,60.0,48130325,55.0,13059175,0.4554,0.3589
2026-06-15,55.57,55.85,354556150,-7021450,3816,2026-06-30,60.0,46920975,55.0,12310100,0.4492,0.3702
2026-06-16,57.92,58.16,366613550,12057400,14084,2026-06-30,60.0,50422675,55.0,14629525,0.4362,0.3912
2026-06-17,59.27,59.52,367236275,622725,11203,2026-06-30,60.0,51135650,55.0,18230500,0.4877,0.3963
2026-06-18,58.44,58.66,369754250,2517975,3911,2026-06-30,60.0,55278125,55.0,17661925,0.4609,0.3735
2026-06-19,59.2,59.34,372344425,2590175,8874,2026-06-30,60.0,50585125,55.0,17752175,0.4957,0.3631
2026-06-22,59.31,59.34,368138775,-4205650,4784,2026-06-30,60.0,53933400,55.0,17526550,0.4924,0.3644
2026-06-23,58.28,58.29,358102975,-10035800,5122,2026-06-30,60.0,45774800,55.0,15748625,0.4983,0.301
2026-06-24,57.91,58.12,231635650,-126467325,19653,2026-06-30,60.0,40495175,55.0,14575375,0.504,0.2997
2026-06-25,57.14,57.37,139318925,-92316725,16032,2026-06-30,60.0,37327400,55.0,14674650,0.4934,0.2291
2026-06-29,57.21,57.32,78968750,-60350175,10130,2026-06-30,60.0,31758975,55.0,13618725,0.5234,0.0
2026-07-01,58.35,58.64,395185900,3860800,2898,2026-07-28,60.0,38836600,60.0,11760200,0.3725,0.3953
2026-07-02,57.67,57.89,400088100,4902200,2869,2026-07-28,60.0,42837100,60.0,12814300,0.3609,0.3886
2026-07-03,56.87,56.98,402323300,2235200,4083,2026-07-28,60.0,47777400,60.0,12687300,0.3725,0.3914
