Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,903.35,906.65,18078650,172550,5282,2026-06-30,950.0,923100,900.0,755650,0.5959,0.3494
2026-06-09,911.2,917.65,18548700,470050,3263,2026-06-30,950.0,910350,900.0,734400,0.5647,0.339
2026-06-10,908.1,910.3,19088450,539750,3562,2026-06-30,950.0,864450,900.0,761600,0.5936,0.3408
2026-06-11,901.35,903.75,19272900,184450,3432,2026-06-30,920.0,1182350,900.0,782850,0.5414,0.3456
2026-06-12,914.45,916.95,19417400,144500,3848,2026-06-30,950.0,975800,900.0,861900,0.5833,0.3218
2026-06-15,935.5,939.95,19123300,-294100,3069,2026-06-30,940.0,893350,900.0,858500,0.6318,0.3309
2026-06-16,940.7,942.35,19478600,355300,2363,2026-06-30,950.0,976650,900.0,824500,0.6094,0.315
2026-06-17,963.75,966.35,19463300,-15300,4583,2026-06-30,960.0,771800,900.0,828750,0.718,0.3155
2026-06-18,954.45,958.15,19459050,-4250,3105,2026-06-30,950.0,727600,900.0,895900,0.7057,0.3135
2026-06-19,963.7,964.2,19165800,-293250,3225,2026-06-30,1000.0,915450,900.0,850850,0.6925,0.2883
2026-06-22,962.55,962.4,18258850,-906950,2665,2026-06-30,1000.0,1052300,900.0,830450,0.6372,0.3011
2026-06-23,950.5,949.85,16893750,-1365100,2880,2026-06-30,960.0,680000,900.0,806650,0.6986,0.2771
2026-06-24,919.45,919.75,11828600,-5065150,8649,2026-06-30,1000.0,710600,900.0,696150,0.6361,0.2714
2026-06-25,942.1,944.05,5586200,-6242400,9018,2026-06-30,1000.0,701250,900.0,652800,0.7643,0.2197
2026-06-29,956.25,953.3,1902300,-3683900,6065,2026-06-30,1000.0,440300,900.0,616250,0.9007,0.0
2026-07-01,976.5,979.85,18088850,23800,4192,2026-07-28,1000.0,1150900,900.0,337450,0.5669,0.3624
2026-07-02,959.4,962.35,18412700,323850,5229,2026-07-28,1000.0,1472200,950.0,439450,0.5579,0.3629
2026-07-03,892.6,897.1,20458650,2045950,19345,2026-07-28,1000.0,2550850,900.0,718250,0.4775,0.3907
2026-07-06,925.05,929.1,20332000,-126650,7695,2026-07-28,1000.0,2242300,900.0,765000,0.6162,0.3867
2026-07-07,910.45,912.2,20310750,-21250,3080,2026-07-28,1000.0,2262700,900.0,798150,0.5955,0.384
2026-07-13,905.5,907.0,20092300,-37400,2747,2026-07-28,1000.0,2278000,900.0,715700,0.5841,0.3944
2026-07-15,929.15,932.75,20128850,126650,5766,2026-07-28,1000.0,1640500,900.0,823650,0.6674,0.437
2026-07-16,921.95,924.85,20910850,782000,6294,2026-07-28,1000.0,1795200,900.0,798150,0.6511,0.4393
2026-07-21,914.25,916.85,20731500,-24650,6039,2026-07-28,1000.0,1695750,900.0,929050,0.633,0.5112
2026-07-23,883.8,882.6,13565150,-5900700,11706,2026-07-28,1000.0,1486650,900.0,967300,0.6162,0.5616
2026-07-27,877.05,878.6,4063000,-3570000,6920,2026-07-28,1000.0,1439050,870.0,350200,0.4949,0.0
2026-07-29,829.5,834.4,18550400,362100,5452,2026-08-25,900.0,1593750,840.0,590750,0.4857,0.3221
2026-07-31,863.4,867.95,19852600,571200,9958,2026-08-25,880.0,1461150,820.0,776900,0.5297,0.3254
2026-08-03,826.18,856.7,20266550,413950,3746,2026-08-25,880.0,1595450,820.0,809200,0.5129,0.3932
2026-08-04,880.04,882.3,19995400,-271150,5475,2026-08-25,880.0,1715300,840.0,983450,0.5893,0.3505
2026-08-06,876.13,877.75,19821150,-248200,1553,2026-08-25,900.0,2035750,840.0,1023400,0.5486,0.3464
2026-08-07,879.22,879.75,19674950,-146200,1214,2026-08-25,900.0,2043400,840.0,1000450,0.5524,0.348
