Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1674.5,1676.7,9800500,222000,3020,2026-06-30,1780.0,1284250,1700.0,605000,0.4822,0.2435
2026-06-09,1693.1,1702.3,9733250,-67250,2801,2026-06-30,1780.0,1288500,1700.0,616500,0.4679,0.2212
2026-06-10,1664.2,1670.6,9916750,183500,2252,2026-06-30,1780.0,1289500,1700.0,607250,0.5027,0.2373
2026-06-11,1645.1,1649.6,10074250,157500,2455,2026-06-30,1780.0,1323500,1700.0,599250,0.4761,0.2358
2026-06-12,1689.1,1697.3,10354750,280500,4876,2026-06-30,1780.0,1341250,1700.0,593500,0.4793,0.2186
2026-06-15,1750.2,1751.8,10349000,-5750,5307,2026-06-30,1780.0,1292000,1700.0,622250,0.5315,0.2141
2026-06-16,1787.3,1789.6,10314750,-34250,4130,2026-06-30,1780.0,1306250,1700.0,641500,0.5683,0.202
2026-06-17,1764.6,1769.5,10298250,-16500,3075,2026-06-30,1780.0,1297250,1700.0,632750,0.5161,0.2092
2026-06-18,1771.7,1777.2,10352750,54500,2773,2026-06-30,1780.0,1310750,1700.0,630750,0.5513,0.2029
2026-06-19,1769.4,1774.6,10451250,98500,2495,2026-06-30,1780.0,1310250,1700.0,641750,0.5586,0.2038
2026-06-22,1782.2,1786.8,10279000,-172250,3026,2026-06-30,1780.0,1326000,1700.0,637750,0.5507,0.2177
2026-06-23,1765.0,1766.0,10153750,-125250,2932,2026-06-30,1780.0,1327750,1700.0,626750,0.5459,0.2036
2026-06-24,1780.5,1782.7,7234500,-2919250,14631,2026-06-30,1780.0,1316250,1700.0,622250,0.5475,0.1956
2026-06-25,1764.6,1764.8,4803250,-2431250,11882,2026-06-30,1780.0,1333500,1700.0,583250,0.5273,0.1533
2026-06-29,1759.3,1761.8,1695750,-3107500,16039,2026-06-30,1780.0,1316000,1700.0,563250,0.5114,0.0
2026-07-01,1797.6,1808.8,14749200,648000,6252,2026-07-28,1800.0,1197300,1700.0,531000,0.7873,0.2609
2026-07-02,1855.8,1861.5,14801700,52500,8295,2026-07-28,1860.0,552600,1700.0,570600,0.9013,0.2416
2026-07-03,1895.6,1902.4,14680200,-121500,9770,2026-07-28,1860.0,573300,1700.0,605700,0.9499,0.2321
