Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,997.0,999.2,11076000,-142500,1252,2026-06-30,1100.0,393500,960.0,308500,0.9736,0.2483
2026-06-09,1013.2,1017.3,11028500,-47500,2115,2026-06-30,1100.0,399000,960.0,305500,0.9838,0.2358
2026-06-10,1027.7,1029.2,10661000,-367500,2981,2026-06-30,1100.0,371000,960.0,316000,1.1542,0.2476
2026-06-11,1008.9,1013.9,10466500,-194500,2254,2026-06-30,1100.0,389500,960.0,349000,1.0239,0.246
2026-06-12,1033.3,1038.2,10381500,-85000,2385,2026-06-30,1100.0,570500,960.0,349500,0.9546,0.2419
2026-06-15,1036.8,1038.7,10385500,4000,3242,2026-06-30,1100.0,533500,960.0,348500,0.959,0.244
2026-06-16,1034.5,1039.0,10246500,-139000,2314,2026-06-30,1100.0,760500,960.0,293500,0.8827,0.236
2026-06-17,1020.0,1022.2,10181500,-65000,2668,2026-06-30,1100.0,835000,900.0,264500,0.7022,0.2551
2026-06-18,1009.2,1013.7,10187500,6000,2470,2026-06-30,1100.0,838000,1000.0,462500,0.7001,0.244
2026-06-19,1000.6,1004.5,10251000,63500,3095,2026-06-30,1100.0,623500,1000.0,461500,0.7457,0.234
2026-06-22,1019.5,1019.6,10040500,-210500,2103,2026-06-30,1100.0,598500,1000.0,484000,0.8201,0.2637
2026-06-23,1020.7,1020.5,9774000,-266500,2044,2026-06-30,1100.0,566000,1000.0,551500,0.8514,0.246
2026-06-24,1020.5,1020.2,7122000,-2652000,6409,2026-06-30,1100.0,552000,1000.0,553000,0.8086,0.215
2026-06-25,1034.6,1032.9,3643000,-3479000,7852,2026-06-30,1100.0,501500,1000.0,539000,0.8631,0.1774
2026-06-29,1021.9,1024.8,1472000,-2171000,5029,2026-06-30,1050.0,355000,1000.0,327500,0.7316,0.0
2026-07-01,1043.6,1049.6,11128000,-228000,3116,2026-07-28,1100.0,431500,1000.0,111500,0.5788,0.2673
2026-07-02,1077.2,1082.5,10965500,-162500,4718,2026-07-28,1100.0,348000,1000.0,117500,0.6572,0.2765
2026-07-03,1076.8,1082.0,11587500,622000,5267,2026-07-28,1100.0,400000,1080.0,227500,0.7662,0.2857
2026-07-06,1100.6,1103.3,11176000,-411500,7858,2026-07-28,1100.0,529500,1100.0,200000,0.7018,0.253
2026-07-07,1097.2,1101.2,11330500,154500,2430,2026-07-28,1100.0,477500,1100.0,217500,0.7146,0.25
2026-07-13,1068.7,1073.4,10967000,74500,1212,2026-07-28,1100.0,529000,1100.0,191500,0.6608,0.2633
2026-07-15,1052.7,1056.2,10911000,-54000,1399,2026-07-28,1100.0,582000,1100.0,186500,0.6397,0.2606
2026-07-16,1057.7,1058.8,10819500,-91500,925,2026-07-28,1100.0,650000,1100.0,188000,0.622,0.2563
2026-07-21,1054.2,1054.4,10435500,-117500,1890,2026-07-28,1100.0,498000,1040.0,140000,0.6581,0.2629
2026-07-23,1058.6,1058.4,7169500,-2710000,6481,2026-07-28,1100.0,424500,1070.0,123500,0.6058,0.2662
2026-07-27,1073.7,1075.6,882000,-2859000,6032,2026-07-28,1100.0,338500,1100.0,111500,0.5688,0.0
2026-07-29,1076.5,1074.6,10180500,39500,1597,2026-08-25,1100.0,186500,1080.0,57000,0.6414,0.2862
2026-07-31,1070.4,1069.3,10564500,161000,1420,2026-08-25,1000.0,359000,1060.0,122500,0.5371,0.2791
2026-08-03,1085.89,1077.6,10851500,287000,2659,2026-08-25,1000.0,358500,1060.0,139500,0.5338,0.3039
2026-08-04,1058.21,1058.2,11186500,335000,2339,2026-08-25,1000.0,358500,1070.0,151500,0.6211,0.3269
2026-08-06,1077.31,1079.5,11363500,-88500,1171,2026-08-25,1100.0,396000,1070.0,174000,0.5914,0.3417
2026-08-07,1050.0,1043.4,12175500,812000,11757,2026-08-25,1100.0,1052500,1060.0,371500,0.5223,0.2822
2026-08-11,1024.8,1019.9,11522500,-212000,2163,2026-08-25,1100.0,1011500,1000.0,512500,0.6621,0.261
2026-08-12,910.01,910.2,16644500,5122000,27578,2026-08-25,950.0,1888500,900.0,1171000,0.4682,0.3345
2026-08-13,936.36,939.1,16227500,-417000,11885,2026-08-25,1000.0,1705000,900.0,778000,0.493,0.2829
2026-08-14,934.34,937.9,16123000,-104500,3519,2026-08-25,1000.0,1633500,900.0,765500,0.5035,0.277
2026-08-19,930.0,931.4,14894000,-726000,3234,2026-08-25,1000.0,1049000,900.0,724500,0.6213,0.2188
2026-08-27,922.98,924.2,13321000,-101500,1477,2026-09-29,930.0,1119500,900.0,562000,0.7491,0.1941
2026-09-02,904.95,906.3,12577500,-118000,1633,2026-09-29,930.0,1078000,900.0,768000,0.7701,0.2078
