Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,871.1,868.8,76198500,96000,7852,2026-06-30,900.0,3918750,900.0,1487250,0.6699,0.2964
2026-06-09,886.9,886.1,76280250,81750,6527,2026-06-30,900.0,3715500,900.0,1483500,0.6958,0.2765
2026-06-10,884.1,880.95,76776000,495750,8579,2026-06-30,900.0,4005750,900.0,1524750,0.6754,0.2792
2026-06-11,870.55,869.0,77172750,396750,4254,2026-06-30,900.0,3687000,900.0,1506000,0.6916,0.2772
2026-06-12,918.3,916.75,78321000,1148250,16515,2026-06-30,900.0,2487750,900.0,1729500,0.781,0.2594
2026-06-15,942.4,938.75,74880750,-3440250,14869,2026-06-30,950.0,2686500,900.0,1757250,0.7272,0.2652
2026-06-16,959.65,955.25,73244250,-1636500,7886,2026-06-30,1000.0,2214750,900.0,1821000,0.7676,0.2585
2026-06-17,958.4,954.65,71376000,-1868250,7809,2026-06-30,1000.0,2395500,900.0,1836750,0.748,0.254
2026-06-18,958.85,957.05,71591250,215250,7596,2026-06-30,1000.0,2315250,900.0,1749750,0.737,0.2455
2026-06-19,961.8,959.5,73788750,2197500,14189,2026-06-30,1000.0,2024250,900.0,1481250,0.7798,0.2399
2026-06-22,968.3,965.35,72852750,-936000,7048,2026-06-30,1000.0,2009250,900.0,1376250,0.7659,0.2659
2026-06-23,962.4,958.7,72065250,-787500,6927,2026-06-30,970.0,1762500,900.0,1109250,0.768,0.2493
2026-06-24,990.95,985.55,51384750,-20680500,35734,2026-06-30,1000.0,1569750,950.0,1098000,0.872,0.2282
2026-06-25,980.35,975.95,28387500,-22997250,36576,2026-06-30,1000.0,1950750,970.0,920250,0.7952,0.1915
2026-06-29,982.05,979.45,11980500,-16407000,28239,2026-06-30,1000.0,1329750,960.0,867750,0.8386,0.0
2026-07-01,1014.9,1017.9,75427500,-174000,9037,2026-07-28,1000.0,1518000,1000.0,1455000,0.8777,0.2856
2026-07-02,1018.5,1024.9,77193000,1765500,9315,2026-07-28,1000.0,1482000,1000.0,1523250,0.8341,0.2906
2026-07-03,1031.6,1035.0,78075000,882000,14337,2026-07-28,1000.0,1419750,1000.0,1430250,0.9099,0.2651
2026-07-06,1029.1,1034.6,79059750,984750,5940,2026-07-28,1000.0,1457250,1000.0,1419000,0.8797,0.2752
2026-07-07,1042.5,1043.8,78194250,-865500,7275,2026-07-28,1000.0,1440750,1000.0,1522500,0.9254,0.2618
2026-07-13,1022.6,1025.8,70740000,-1404000,6923,2026-07-28,1000.0,1610250,1000.0,1972500,0.9111,0.2762
2026-07-15,1021.3,1022.0,67398750,-858750,7526,2026-07-28,1000.0,1850250,1000.0,1844250,0.7987,0.2845
2026-07-16,1037.6,1038.7,66217500,-1181250,7855,2026-07-28,1000.0,1827750,1000.0,1977000,0.8662,0.2679
2026-07-21,1069.0,1069.4,64536750,307500,6326,2026-07-28,1000.0,1632750,1000.0,2239500,0.9091,0.2899
2026-07-23,1039.8,1040.6,48077250,-12353250,22186,2026-07-28,1100.0,1698000,1000.0,2055750,0.8563,0.2539
2026-07-27,1048.2,1047.3,9354000,-18065250,27751,2026-07-28,1050.0,1113750,1000.0,1113000,0.9248,0.0
2026-07-29,1054.4,1057.5,65655000,-60000,9358,2026-08-25,1100.0,1776000,1000.0,1718250,0.8606,0.34
2026-07-31,1141.2,1144.8,60096750,-7233000,39147,2026-08-25,1200.0,3012000,1100.0,2905500,1.0868,0.2521
2026-08-03,1152.79,1147.5,55503750,-4593000,17027,2026-08-25,1200.0,2903250,1100.0,2888250,1.0234,0.2533
2026-08-04,1149.02,1144.9,53835750,-1668000,7006,2026-08-25,1200.0,2683500,1100.0,2771250,0.9449,0.2538
2026-08-06,1144.81,1154.5,53283000,-147000,5517,2026-08-25,1200.0,2158500,1100.0,3267750,0.9898,0.2614
2026-08-07,1078.04,1086.6,54900000,1617000,21654,2026-08-25,1200.0,3164250,1100.0,2874000,0.6806,0.2722
