Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2966.0,2975.3,17202800,-125600,7552,2026-06-30,3200.0,946200,3000.0,503600,0.5922,0.2911
2026-06-09,2990.1,3010.3,17038800,-164000,6503,2026-06-30,3200.0,921200,3000.0,515800,0.5732,0.2693
2026-06-10,2952.5,2964.4,17158400,119600,5349,2026-06-30,3200.0,975600,3000.0,529000,0.5528,0.2772
2026-06-11,3000.9,3010.2,17081200,-77200,10320,2026-06-30,3200.0,922000,3000.0,514800,0.6108,0.2704
2026-06-12,3042.9,3059.9,17652400,571200,11839,2026-06-30,3200.0,979600,3000.0,529400,0.5851,0.2482
2026-06-15,3134.3,3141.8,17134600,-517800,15796,2026-06-30,3200.0,963200,3000.0,530600,0.6279,0.254
2026-06-16,3137.9,3143.0,16157000,-977600,9481,2026-06-30,3200.0,940600,3000.0,537600,0.6155,0.2487
2026-06-17,3132.9,3135.4,15182200,-974800,13531,2026-06-30,3200.0,1007800,3000.0,529800,0.5878,0.2488
2026-06-18,3137.2,3140.9,15040400,-141800,5896,2026-06-30,3200.0,1069600,3000.0,537600,0.5959,0.2456
2026-06-19,3074.8,3085.9,15183600,143200,9127,2026-06-30,3200.0,1258000,3000.0,502200,0.546,0.267
2026-06-22,3063.5,3072.6,15048200,-135400,4117,2026-06-30,3200.0,951600,3100.0,503000,0.5899,0.2792
2026-06-23,3037.3,3043.7,14816200,-232000,6477,2026-06-30,3100.0,1268000,3000.0,520200,0.5477,0.2781
2026-06-24,3064.5,3071.9,10909600,-3906600,24880,2026-06-30,3100.0,922400,3000.0,561200,0.6254,0.247
2026-06-25,3182.2,3182.5,6885400,-4024200,30719,2026-06-30,3200.0,556800,3000.0,566600,0.8343,0.1717
2026-06-29,3093.0,3099.2,2393600,-4491800,26377,2026-06-30,3260.0,537400,3000.0,485400,0.7332,0.0
2026-07-01,3130.0,3114.6,20095400,16200,13149,2026-07-28,3200.0,1364800,3100.0,585600,0.6943,0.273
2026-07-02,3175.2,3162.6,20349200,253800,12708,2026-07-28,3200.0,1142600,3100.0,613600,0.7469,0.2582
2026-07-03,3136.9,3145.8,20127600,-221600,9747,2026-07-28,3200.0,1245800,3100.0,590800,0.7035,0.2494
2026-07-06,3201.2,3209.1,19828800,-298800,9905,2026-07-28,3200.0,999600,3100.0,588600,0.7293,0.2519
2026-07-07,3196.4,3199.3,19362000,-466800,7256,2026-07-28,3200.0,1091400,3100.0,552800,0.7095,0.2418
2026-07-13,3160.4,3165.7,17298200,-273200,6841,2026-07-28,3200.0,1121200,3100.0,628400,0.7193,0.2757
2026-07-15,3082.9,3093.6,16746200,-93600,6451,2026-07-28,3200.0,1273600,3100.0,674600,0.6457,0.2874
2026-07-16,3118.1,3124.0,16292400,-453800,8441,2026-07-28,3200.0,1115800,3100.0,668200,0.6473,0.2757
2026-07-21,3201.7,3210.7,14889800,-456400,9439,2026-07-28,3200.0,1073000,3100.0,647600,0.695,0.2549
