Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,3317.7,3326.7,10787000,76475,3448,2026-06-30,3500.0,209300,3400.0,143850,0.8505,0.2867
2026-06-09,3358.0,3380.8,10962350,175350,4947,2026-06-30,3500.0,211750,3400.0,136675,0.752,0.2733
2026-06-10,3335.2,3345.1,11056675,94325,4611,2026-06-30,3500.0,242200,3400.0,142450,0.7616,0.2775
2026-06-11,3287.4,3303.4,11264575,207900,3725,2026-06-30,3500.0,262675,3400.0,145950,0.7635,0.2785
2026-06-12,3312.8,3332.3,11876550,611975,9099,2026-06-30,3500.0,306775,3300.0,154350,0.6894,0.2667
2026-06-15,3459.5,3466.3,11860275,-16275,9183,2026-06-30,3500.0,266875,3400.0,219975,0.792,0.2626
2026-06-16,3435.5,3447.9,11888275,28000,2729,2026-06-30,3500.0,228550,3400.0,193550,0.7656,0.2485
2026-06-17,3448.6,3454.5,11846625,-41650,3183,2026-06-30,3500.0,217700,3400.0,178500,0.7099,0.2519
2026-06-18,3457.6,3466.8,11836125,-10500,1734,2026-06-30,3500.0,379925,3400.0,183050,0.6806,0.2475
2026-06-19,3442.9,3452.2,11922925,86800,3177,2026-06-30,3500.0,330050,3400.0,183750,0.7104,0.2525
2026-06-22,3488.7,3489.2,11750025,-172900,3611,2026-06-30,3500.0,254800,3400.0,187250,0.6797,0.2716
2026-06-23,3456.2,3458.4,11585875,-164150,4143,2026-06-30,3500.0,255500,3400.0,164325,0.7093,0.2587
2026-06-24,3440.6,3447.9,8244775,-3341100,22047,2026-06-30,3500.0,218575,3400.0,130200,0.7565,0.2572
2026-06-25,3569.7,3566.8,3613050,-4631725,30308,2026-06-30,3600.0,109200,3400.0,162575,0.9579,0.1966
2026-06-29,3456.9,3468.0,759675,-2853375,18443,2026-06-30,3600.0,134575,3420.0,137200,0.8596,0.0
2026-07-01,3494.0,3510.2,13209175,52150,3918,2026-07-28,3500.0,310450,3500.0,161700,0.6184,0.2968
2026-07-02,3626.8,3638.9,12968725,-240450,13021,2026-07-28,3600.0,246575,3500.0,185325,0.7078,0.2856
