Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1817.8,1819.5,5537350,-79100,1500,2026-06-30,1900.0,273000,1800.0,178150,0.8612,0.295
2026-06-09,1799.0,1812.2,5534550,-2800,857,2026-06-30,1900.0,296800,1800.0,189350,0.8411,0.2901
2026-06-10,1762.4,1767.3,5524050,-10500,973,2026-06-30,1900.0,348950,1800.0,226100,0.7954,0.2823
2026-06-11,1764.1,1770.0,5572000,47950,1338,2026-06-30,1900.0,277900,1800.0,220850,0.8375,0.2669
2026-06-12,1817.6,1823.7,5615750,43750,2307,2026-06-30,1900.0,277550,1800.0,215250,0.92,0.2651
2026-06-15,1833.8,1837.6,5901350,285600,3559,2026-06-30,1900.0,245700,1800.0,215250,0.8604,0.266
2026-06-16,1842.0,1844.4,5860050,-41300,1325,2026-06-30,1900.0,200900,1800.0,209650,0.8151,0.2507
2026-06-17,1854.6,1857.8,5783750,-76300,1450,2026-06-30,1900.0,210000,1800.0,208600,0.8606,0.2537
2026-06-18,1860.9,1863.4,5758900,-24850,607,2026-06-30,1900.0,213150,1800.0,215600,0.8732,0.2532
2026-06-19,1871.6,1873.6,5765900,7000,936,2026-06-30,1900.0,222600,1800.0,212450,0.8414,0.2471
2026-06-22,1854.9,1854.0,5698350,-67550,732,2026-06-30,1900.0,254100,1800.0,195650,0.7574,0.2656
2026-06-23,1842.0,1840.3,4499950,-1198400,4370,2026-06-30,1900.0,377300,1800.0,152600,0.734,0.2398
2026-06-24,1826.2,1831.3,3406900,-1093050,3999,2026-06-30,1900.0,295050,1800.0,142450,0.8468,0.2146
2026-06-25,1793.6,1791.9,2148300,-1258600,4550,2026-06-30,1900.0,249900,1740.0,126000,0.8717,0.189
2026-06-29,1787.5,1786.0,750400,-1397900,4583,2026-06-30,1900.0,211400,1740.0,105700,0.9305,0.0
2026-07-01,1785.1,1794.8,5905900,255850,4769,2026-07-28,1800.0,213850,1700.0,175350,1.2646,0.2894
2026-07-02,1788.3,1794.3,5820500,-85400,1532,2026-07-28,1800.0,210700,1800.0,165900,1.0531,0.2825
2026-07-03,1788.0,1792.7,5868100,47600,2601,2026-07-28,1800.0,237300,1800.0,196000,0.9617,0.2841
2026-07-06,1804.5,1814.1,5958750,90650,1802,2026-07-28,1800.0,241500,1800.0,215950,0.7435,0.2867
2026-07-07,1819.8,1823.6,5857950,-100800,1343,2026-07-28,1800.0,227500,1800.0,208250,0.75,0.2778
