Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,377.1,379.15,180268000,-434000,3363,2026-06-30,400.0,6344000,370.0,3924000,0.7206,0.2454
2026-06-09,381.7,383.25,177992000,-2276000,6079,2026-06-30,400.0,6968000,370.0,3944000,0.708,0.228
2026-06-10,388.1,389.05,172160000,-5832000,9875,2026-06-30,400.0,6198000,370.0,4156000,0.7811,0.2232
2026-06-11,393.35,394.55,172524000,364000,7177,2026-06-30,400.0,6120000,370.0,4144000,0.8171,0.2231
2026-06-12,403.3,404.35,169438000,-3086000,8363,2026-06-30,400.0,4922000,370.0,4126000,0.9037,0.2051
2026-06-15,405.75,407.0,168650000,-788000,7244,2026-06-30,400.0,4658000,370.0,4024000,0.8812,0.2099
2026-06-16,407.85,408.55,167338000,-1312000,2580,2026-06-30,400.0,4622000,370.0,4096000,0.921,0.1983
2026-06-17,404.5,405.45,166288000,-1050000,4763,2026-06-30,400.0,4524000,370.0,4058000,0.8706,0.1957
2026-06-18,402.95,404.3,164344000,-1944000,8292,2026-06-30,400.0,4386000,370.0,3988000,0.8218,0.1912
2026-06-19,399.25,400.55,167438000,3094000,8569,2026-06-30,400.0,4592000,370.0,3978000,0.7722,0.1915
2026-06-22,402.15,403.25,165290000,-2148000,3922,2026-06-30,400.0,4834000,370.0,3954000,0.7653,0.2049
2026-06-23,401.65,402.2,158094000,-7196000,6438,2026-06-30,400.0,4552000,370.0,3942000,0.7723,0.2006
2026-06-24,405.95,406.9,129652000,-28442000,19990,2026-06-30,400.0,4518000,370.0,3938000,0.7978,0.1749
2026-06-25,409.0,409.35,73796000,-55856000,34303,2026-06-30,400.0,4334000,370.0,2882000,0.9216,0.1512
2026-06-29,395.5,397.0,28338000,-45458000,26854,2026-06-30,400.0,4286000,370.0,2770000,0.8491,0.0
2026-07-01,400.45,401.75,168198000,590000,6895,2026-07-28,400.0,5224000,390.0,4116000,0.7076,0.2472
2026-07-02,399.35,400.4,170610000,2412000,5198,2026-07-28,400.0,4998000,390.0,4088000,0.7291,0.2495
2026-07-03,396.75,398.6,172160000,1550000,4387,2026-07-28,400.0,5738000,390.0,3992000,0.72,0.2551
2026-07-06,381.3,382.9,176104000,3944000,14601,2026-07-28,400.0,12266000,390.0,4326000,0.5506,0.2564
2026-07-07,381.7,382.6,162682000,-13422000,17342,2026-07-28,400.0,12566000,390.0,4156000,0.5497,0.2463
2026-07-13,384.65,385.1,158402000,-1302000,9481,2026-07-28,400.0,11924000,380.0,4308000,0.5611,0.273
2026-07-15,378.4,378.45,158582000,-602000,4368,2026-07-28,400.0,13230000,380.0,4102000,0.5356,0.3039
2026-07-16,377.15,377.7,158028000,-554000,4157,2026-07-28,400.0,12904000,380.0,4100000,0.5318,0.3083
2026-07-21,385.95,386.45,146462000,-6120000,8607,2026-07-28,400.0,11936000,380.0,4524000,0.5454,0.2152
2026-07-23,383.35,383.95,101322000,-35684000,20630,2026-07-28,400.0,9174000,380.0,4612000,0.5876,0.1951
2026-07-27,384.65,385.65,26564000,-37722000,20892,2026-07-28,400.0,6414000,380.0,3768000,0.645,0.0
2026-07-29,390.2,391.45,179632000,78000,3852,2026-08-25,400.0,5928000,370.0,4578000,0.7372,0.2012
2026-07-31,390.3,391.2,176106000,-2022000,3634,2026-08-25,400.0,7252000,370.0,4672000,0.6386,0.188
2026-08-03,397.5,395.15,174058000,-2048000,3787,2026-08-25,400.0,7034000,370.0,4764000,0.6365,0.1817
2026-08-04,398.0,394.65,172740000,-1318000,4131,2026-08-25,400.0,6174000,370.0,4598000,0.6359,0.1969
2026-08-06,394.0,395.65,169172000,-3026000,4907,2026-08-25,400.0,8414000,370.0,4526000,0.5802,0.192
2026-08-07,390.75,390.8,166232000,-2940000,3898,2026-08-25,400.0,8026000,370.0,4546000,0.5819,0.1968
