Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,414.6,415.55,26818750,228750,2082,2026-06-30,450.0,1785000,400.0,817500,0.6308,0.3267
2026-06-09,422.8,426.0,26943750,125000,2218,2026-06-30,450.0,1762500,400.0,811250,0.6595,0.322
2026-06-10,425.05,426.7,26947500,3750,2323,2026-06-30,450.0,1658750,400.0,765000,0.6764,0.3214
2026-06-11,413.6,415.7,26945000,-2500,1585,2026-06-30,450.0,1992500,400.0,753750,0.6389,0.3132
2026-06-12,419.35,421.65,27247500,302500,2533,2026-06-30,450.0,2041250,400.0,748750,0.6424,0.3056
2026-06-15,422.65,424.5,27625000,377500,2795,2026-06-30,450.0,2248750,440.0,627500,0.6185,0.3004
2026-06-16,423.35,425.55,28028750,403750,1692,2026-06-30,450.0,2232500,440.0,627500,0.5895,0.2994
2026-06-17,423.15,424.4,28446250,417500,1402,2026-06-30,450.0,2261250,440.0,627500,0.5492,0.3049
2026-06-18,422.95,424.4,28391250,-55000,1368,2026-06-30,450.0,2346250,430.0,627500,0.5376,0.3021
2026-06-19,419.0,419.5,28417500,26250,2122,2026-06-30,450.0,2265000,400.0,595000,0.5025,0.3035
2026-06-22,433.4,434.85,28392500,-25000,5620,2026-06-30,450.0,1911250,420.0,1226250,0.7922,0.3291
2026-06-23,423.45,423.6,28051250,-341250,2814,2026-06-30,440.0,2137500,420.0,1108750,0.6622,0.3187
2026-06-24,424.5,425.9,23958750,-4092500,5038,2026-06-30,440.0,1933750,420.0,1076250,0.713,0.2838
2026-06-25,423.2,424.45,20305000,-3653750,4448,2026-06-30,450.0,1411250,420.0,1057500,0.7849,0.2733
2026-06-29,417.7,418.8,15087500,-5217500,7184,2026-06-30,450.0,1183750,420.0,872500,0.8734,0.0
2026-07-01,421.45,423.2,18206250,248750,2118,2026-07-28,450.0,910000,430.0,622500,0.8894,0.3226
2026-07-02,431.6,433.3,18267500,61250,2771,2026-07-28,500.0,1126250,430.0,705000,0.8533,0.3261
2026-07-03,429.55,430.95,18037500,-230000,1640,2026-07-28,500.0,1283750,430.0,702500,0.8268,0.3327
2026-07-06,438.25,437.8,17457500,-580000,8646,2026-07-28,500.0,1747500,430.0,808750,0.6215,0.3685
2026-07-07,454.95,454.45,17233750,-223750,7984,2026-07-28,500.0,1735000,430.0,826250,0.7864,0.3122
2026-07-13,431.6,432.3,18405000,596250,1787,2026-07-28,500.0,1790000,430.0,1097500,0.6973,0.3653
