Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,3056.1,3054.0,2210000,-113000,2209,2026-06-30,3200.0,75200,3100.0,36200,0.5916,0.3126
2026-06-09,3105.7,3118.2,2191600,-18400,1411,2026-06-30,3400.0,91200,3100.0,34600,0.5269,0.3823
2026-06-10,3061.9,3064.0,2156200,-35400,1086,2026-06-30,3400.0,98600,3100.0,37200,0.5185,0.4373
2026-06-11,2975.3,2988.8,2152600,-3600,995,2026-06-30,3400.0,91600,3000.0,42600,0.4642,0.8255
2026-06-12,3141.8,3142.6,2121800,-30800,1458,2026-06-30,3400.0,99600,3000.0,53400,0.5637,0.3361
2026-06-15,3226.1,3236.3,2100400,-21400,1042,2026-06-30,3400.0,107400,3120.0,67200,0.6371,0.3199
2026-06-16,3264.2,3265.0,2116800,16400,950,2026-06-30,3400.0,97200,3100.0,71600,0.8099,0.3344
2026-06-17,3267.7,3276.3,2104400,-12400,616,2026-06-30,3400.0,98600,3120.0,69000,0.7355,0.3235
2026-06-18,3256.5,3263.2,2104600,200,452,2026-06-30,3400.0,100000,3120.0,69000,0.7166,0.3401
2026-06-19,3285.7,3293.2,2080000,-24600,1307,2026-06-30,3400.0,102200,3120.0,69000,0.7862,0.3153
2026-06-22,3307.8,3306.5,2058000,-22000,951,2026-06-30,3400.0,101000,3120.0,69000,0.8252,0.3172
2026-06-23,3257.6,3251.9,1991200,-66800,1127,2026-06-30,3400.0,92800,3120.0,69000,0.8182,0.3305
2026-06-24,3170.2,3184.3,1433200,-558000,5106,2026-06-30,3400.0,214800,3100.0,64000,0.5447,0.3108
2026-06-25,3054.0,3058.4,627000,-806200,5736,2026-06-30,3300.0,200200,2960.0,57800,0.4891,0.3099
2026-06-29,3022.3,3035.6,165000,-462000,3082,2026-06-30,3300.0,116400,2960.0,57800,0.631,0.0
2026-07-01,3097.1,3114.3,1958200,4800,1383,2026-07-28,3300.0,40000,3000.0,38400,0.6604,0.4039
2026-07-02,3090.7,3099.4,1941600,-16600,978,2026-07-28,3300.0,42000,3000.0,40800,0.6525,0.3217
2026-07-03,2975.8,2978.2,1835200,-106400,3224,2026-07-28,3000.0,112600,2800.0,46400,0.427,0.3462
2026-07-06,3005.9,3020.1,1870200,35000,1148,2026-07-28,3000.0,112800,3000.0,36000,0.4543,0.3451
2026-07-07,2978.8,2979.1,1908400,38200,790,2026-07-28,3000.0,116600,3000.0,35400,0.4312,0.3736
2026-07-13,2921.1,2928.8,1906600,-14000,512,2026-07-28,3000.0,130200,2700.0,45000,0.4221,0.3302
2026-07-15,2939.7,2950.8,1903200,-15600,1012,2026-07-28,3000.0,106000,2900.0,48600,0.4757,0.3124
2026-07-16,2932.7,2936.0,1883800,-19400,1146,2026-07-28,3000.0,95200,2900.0,47800,0.4926,0.3538
2026-07-21,2909.3,2916.9,1917800,9800,723,2026-07-28,3000.0,95800,2700.0,68600,0.5135,0.3459
2026-07-23,2824.5,2833.9,1387600,-523000,3882,2026-07-28,3000.0,107800,2700.0,65800,0.4856,0.2648
2026-07-27,2849.2,2847.2,138800,-551800,3060,2026-07-28,3000.0,63000,2680.0,24600,0.4431,0.0
2026-07-29,2786.7,2801.0,1949600,42600,787,2026-08-25,3000.0,38000,2700.0,31000,0.8683,0.3704
2026-07-31,2753.0,2766.7,2192400,75200,1952,2026-08-25,2800.0,66200,2700.0,59000,0.8057,0.3668
2026-08-03,2766.0,2748.8,2210200,17800,1102,2026-08-25,2800.0,82200,2700.0,43000,0.7466,0.3841
2026-08-04,2744.27,2748.8,2257600,47400,1353,2026-08-25,2800.0,102400,2700.0,40800,0.6403,0.3937
2026-08-06,2753.81,2768.7,2294400,28800,832,2026-08-25,2800.0,153200,2800.0,55200,0.5656,0.4102
2026-08-07,2771.98,2783.1,2291000,-3400,614,2026-08-25,2800.0,146000,2800.0,57800,0.569,0.4103
