Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,4238.0,4247.2,6305550,-34350,4599,2026-06-30,4500.0,337650,4400.0,212250,0.6996,0.2868
2026-06-09,4263.9,4287.8,6163350,-142200,4380,2026-06-30,4500.0,332250,4300.0,208050,0.7175,0.2735
2026-06-10,4219.1,4228.7,6076500,-86850,3171,2026-06-30,4500.0,358500,4300.0,211800,0.6753,0.2773
2026-06-11,4172.3,4181.8,6082500,6000,2480,2026-06-30,4500.0,372000,4200.0,232050,0.6861,0.272
2026-06-12,4192.3,4217.7,6111300,28800,2865,2026-06-30,4500.0,382950,4200.0,231600,0.6786,0.2616
2026-06-15,4284.7,4306.9,6229050,117750,5799,2026-06-30,4400.0,365250,4200.0,256950,0.7282,0.2743
2026-06-16,4255.8,4275.3,6269700,40650,3551,2026-06-30,4500.0,387900,4300.0,238650,0.6562,0.2654
2026-06-17,4460.5,4479.2,6269550,-150,8354,2026-06-30,4500.0,402900,4300.0,329850,0.8554,0.2801
2026-06-18,4411.5,4426.6,6277500,7950,5082,2026-06-30,4400.0,596550,4400.0,319350,0.737,0.2788
2026-06-19,4408.1,4424.3,6292200,14700,4197,2026-06-30,4400.0,626850,4400.0,337650,0.7138,0.279
2026-06-22,4515.2,4516.5,6068100,-224100,6924,2026-06-30,4500.0,684150,4400.0,318000,0.7171,0.3037
2026-06-23,4500.2,4498.1,5511900,-556200,7791,2026-06-30,4500.0,544500,3800.0,289650,0.7032,0.2686
2026-06-24,4368.9,4367.9,4854150,-657750,10634,2026-06-30,4500.0,757950,4200.0,300150,0.5843,0.2935
2026-06-25,4368.7,4362.6,3562200,-1291950,10713,2026-06-30,4500.0,594600,3800.0,280950,0.607,0.2091
2026-06-29,4342.9,4338.6,1368600,-2193600,16802,2026-06-30,4500.0,397800,3800.0,274050,0.6639,0.0
2026-07-01,4434.3,4459.4,5540100,-127050,3759,2026-07-28,4500.0,300750,4400.0,306300,0.8503,0.2745
2026-07-02,4434.0,4453.9,5379300,-160800,2648,2026-07-28,4500.0,330750,4400.0,317100,0.8547,0.2708
2026-07-03,4428.9,4442.4,5332650,-46650,3569,2026-07-28,4500.0,432900,4400.0,315900,0.7738,0.2841
2026-07-06,4440.6,4464.0,5388000,55350,2682,2026-07-28,4500.0,519150,4400.0,323700,0.718,0.2841
2026-07-07,4400.3,4411.7,5380050,-7950,2136,2026-07-28,4500.0,549900,4400.0,328050,0.7171,0.2859
2026-07-13,4511.3,4519.2,5181450,47700,3417,2026-07-28,4500.0,498150,4400.0,347100,0.6855,0.2979
2026-07-15,4420.5,4430.6,5111850,-27900,2054,2026-07-28,4500.0,598650,4400.0,333000,0.6176,0.3003
2026-07-16,4433.8,4435.8,5039100,-72750,1727,2026-07-28,4500.0,604950,4400.0,331650,0.6152,0.2942
2026-07-21,4581.7,4590.1,4454850,-189000,6023,2026-07-28,4600.0,414150,4400.0,303450,0.6489,0.303
2026-07-23,4592.5,4585.3,3317100,-807150,7180,2026-07-28,4600.0,366450,4400.0,231900,0.6326,0.2585
2026-07-27,4618.9,4626.8,835800,-1404150,11358,2026-07-28,4650.0,188100,4400.0,179850,0.8187,0.0
2026-07-29,4591.9,4598.2,5014500,-13050,2423,2026-08-25,5000.0,393450,4600.0,244500,0.7283,0.2865
2026-07-31,4646.5,4655.4,5110650,48900,3916,2026-08-25,5000.0,425700,4600.0,255300,0.769,0.2805
