Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2674.4,2678.3,2919600,-88600,3002,2026-06-30,2700.0,200200,2700.0,165400,0.5992,0.2747
2026-06-09,2689.2,2708.1,2904000,-15600,1847,2026-06-30,2700.0,182800,2700.0,146800,0.5647,0.2656
2026-06-10,2734.1,2736.4,2833600,-70400,2333,2026-06-30,2700.0,218400,2700.0,152600,0.5882,0.2756
2026-06-11,2658.4,2661.5,2888200,54600,2044,2026-06-30,2800.0,242600,2700.0,149000,0.5014,0.2793
2026-06-12,2742.7,2749.1,2877800,-10400,1811,2026-06-30,2800.0,211000,2700.0,141200,0.5016,0.2579
2026-06-15,2720.5,2732.7,2864600,-13200,2020,2026-06-30,2800.0,389000,2700.0,153800,0.4711,0.2747
2026-06-16,2743.9,2749.5,2929000,64400,3314,2026-06-30,2800.0,477600,2700.0,165000,0.444,0.2641
2026-06-17,2705.5,2702.1,2983400,54400,4256,2026-06-30,2800.0,500400,2700.0,181200,0.4727,0.2831
2026-06-18,2703.0,2714.3,2976000,-7400,1575,2026-06-30,2800.0,448400,2700.0,164200,0.4788,0.2637
2026-06-19,2709.8,2713.0,2936400,-39600,1650,2026-06-30,2800.0,411400,2700.0,163200,0.4864,0.2581
2026-06-22,2720.7,2711.6,2977600,41200,2813,2026-06-30,2800.0,419600,2700.0,179400,0.4694,0.2834
2026-06-23,2736.7,2720.4,2933400,-44200,5063,2026-06-30,2800.0,342400,2700.0,129800,0.4168,0.2767
2026-06-24,2765.8,2751.4,1978200,-955200,6905,2026-06-30,2800.0,308400,2700.0,116200,0.4631,0.2541
2026-06-25,2732.9,2721.3,1063400,-914800,6521,2026-06-30,2800.0,293000,2700.0,73000,0.422,0.253
2026-06-29,2664.7,2673.1,577600,-485800,4782,2026-06-30,2800.0,228600,2760.0,56000,0.4203,0.0
2026-07-01,2739.9,2743.9,3337400,55800,1592,2026-07-28,2800.0,232400,2600.0,199800,0.816,0.2901
2026-07-02,2799.4,2808.1,3552000,214600,4597,2026-07-28,2800.0,365800,2700.0,167800,0.6227,0.3036
2026-07-03,2794.5,2805.5,3540600,-11400,2923,2026-07-28,2800.0,314800,2700.0,168200,0.6317,0.2967
2026-07-06,2830.7,2843.8,3806200,265600,5209,2026-07-28,2800.0,227000,2700.0,173600,0.6663,0.3075
2026-07-07,2810.5,2810.7,3783200,-23000,1870,2026-07-28,2800.0,254000,2800.0,173000,0.6377,0.301
2026-07-13,2741.5,2751.4,3494800,-3400,1022,2026-07-28,2900.0,260000,2700.0,213400,0.5935,0.3344
2026-07-15,2775.6,2785.0,3527000,-6800,3303,2026-07-28,2800.0,355200,2700.0,199000,0.5737,0.3428
2026-07-16,2889.2,2886.8,3477000,-50000,7827,2026-07-28,2900.0,323600,2800.0,240200,0.6849,0.3672
2026-07-21,2939.1,2952.4,3535200,96200,5944,2026-07-28,3000.0,270400,2800.0,227200,0.654,0.4115
2026-07-23,2622.7,2627.3,2837400,-1047800,16230,2026-07-28,2900.0,674000,2700.0,217600,0.3984,0.3361
2026-07-27,2636.5,2642.6,746800,-797400,7604,2026-07-28,2900.0,316200,2700.0,146800,0.4966,0.0
