Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,54063.75,54242.0,2475540,-30420,27554,2026-06-30,60000.0,2031000,54000.0,1246890,0.9097,0.21
2026-06-09,55194.5,55375.6,2380410,-95130,43926,2026-06-30,60000.0,1952550,54000.0,1368300,1.001,0.1933
2026-06-10,55100.3,55200.4,2397030,16620,46073,2026-06-30,60000.0,1877460,54000.0,1392330,0.9798,0.1913
2026-06-11,55176.75,55272.0,2381160,-15870,26028,2026-06-30,60000.0,1884090,54000.0,1383510,0.9722,0.1912
2026-06-12,56814.8,56872.4,2395620,14460,38630,2026-06-30,60000.0,1791960,54000.0,1404120,1.0962,0.1736
2026-06-15,57198.8,57257.2,2267070,-128550,29297,2026-06-30,60000.0,1763670,54000.0,1368720,1.0362,0.1702
2026-06-16,57297.15,57322.4,2176500,-90570,15645,2026-06-30,60000.0,1641360,54000.0,1401630,1.0572,0.1574
2026-06-17,57585.05,57588.2,2071980,-104520,19612,2026-06-30,60000.0,1768590,54000.0,1424940,1.0882,0.15
2026-06-18,57963.8,57996.0,2100450,28470,22759,2026-06-30,60000.0,1831290,54000.0,1461600,1.147,0.133
2026-06-19,57685.75,57861.6,2078610,-21840,22673,2026-06-30,60000.0,1957320,54000.0,1401600,1.0746,0.1354
2026-06-22,57935.6,58011.4,1929420,-149190,16666,2026-06-30,60000.0,1806960,54000.0,1280340,1.1068,0.1344
2026-06-23,57183.75,57246.6,1853580,-75840,26009,2026-06-30,58000.0,1810050,54000.0,1249770,0.8775,0.154
2026-06-24,58150.35,58187.2,1641930,-211650,38391,2026-06-30,60000.0,1762860,54000.0,1367430,1.1969,0.1393
2026-06-25,58177.05,58239.6,1300230,-341700,35071,2026-06-30,60000.0,1677630,54000.0,1391760,1.1757,0.1217
2026-06-29,57727.35,57812.6,1010040,-290190,28215,2026-06-30,60000.0,1583220,54000.0,1334070,0.9813,0.0
